category,language,source_url,local_path,size_bytes
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/3276538_BM/Akta 875 - AKTA LANGKAH-LANGKAH BAGI PEMUNGUTAN, PENTADBIRAN DAN PENGUATKUASAAN CUKAI 2025.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 875 - AKTA LANGKAH-LANGKAH BAGI PEMUNGUTAN, PENTADBIRAN DAN PENGUATKUASAAN CUKAI 2025.pdf",299195
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/3276537_BI/Act 874 - FINANCE ACT 2025.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 874 - FINANCE ACT 2025.pdf",405226
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/3276537_BM/Akta 874 - AKTA KEWANGAN 2025.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 874 - AKTA KEWANGAN 2025.pdf",314743
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/3272203_BI/Act 873 - CONSUMER CREDIT ACT 2025.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 873 - CONSUMER CREDIT ACT 2025.pdf",731778
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/3272203_BM/Akta 873 - AKTA KREDIT PENGGUNA 2025.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 873 - AKTA KREDIT PENGGUNA 2025.pdf",741489
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/3272166_BI/Act 872 - GIG WORKERS ACT 2025.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 872 - GIG WORKERS ACT 2025.pdf",439389
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/3272166_BM/Akta 872 - AKTA PEKERJA GIG 2025.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 872 - AKTA PEKERJA GIG 2025.pdf",455045
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/3131137_BM/AKTA FI (FERI PENGKALAN KUBOR) (PENGESAHAN) 2025.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\AKTA FI (FERI PENGKALAN KUBOR) (PENGESAHAN) 2025.pdf",202520
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/3131137_BI/FEES (PENGKALAN KUBOR FERRY) (VALIDATION) ACT 2025.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\FEES (PENGKALAN KUBOR FERRY) (VALIDATION) ACT 2025.pdf",205654
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2995040_BM/Akta 870 AKTA PEMERANGKAPAN, PENGGUNAAN DAN PENYIMPANAN KARBON 2025.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 870 AKTA PEMERANGKAPAN, PENGGUNAAN DAN PENYIMPANAN KARBON 2025.pdf",339397
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2995040_BI/Act 870 CARBON CAPTURE, UTILIZATION AND STORAGE ACT 2025.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 870 CARBON CAPTURE, UTILIZATION AND STORAGE ACT 2025.pdf",327035
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2969226_BM/Akta 869- AKTA PERKHIDMATAN PARLIMEN 2025.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 869- AKTA PERKHIDMATAN PARLIMEN 2025.pdf",271948
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2969226_BI/Act 869- PARLIAMENTARY SERVICE ACT 2025.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 869- PARLIAMENTARY SERVICE ACT 2025.pdf",274026
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2899250_BI/Act 868 - MALAYSIAN MEDIA COUNCIL ACT 2025.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 868 - MALAYSIAN MEDIA COUNCIL ACT 2025.pdf",307891
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2899250_BM/Akta 868 - AKTA MAJLIS MEDIA MALAYSIA 2025.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 868 - AKTA MAJLIS MEDIA MALAYSIA 2025.pdf",309985
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2867079_BM/Akta 867-Akta Iltizam Kecekapan Perkhidmatan Kerajaan 2025.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 867-Akta Iltizam Kecekapan Perkhidmatan Kerajaan 2025.pdf",236811
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2867079_BI/Act 867-Government Service Efficiency Commitment Act 2025.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 867-Government Service Efficiency Commitment Act 2025.pdf",235810
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2867049_BM/Akta 866-Akta Keselamatan Dalam Talian 2025.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 866-Akta Keselamatan Dalam Talian 2025.pdf",459495
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2867049_BI/Act 866-Online Safety Act 2025.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 866-Online Safety Act 2025.pdf",447566
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2864054_BM/Akta 865 AKTA INSTITUT KOPERASI (EMERBADANAN)1968.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 865 AKTA INSTITUT KOPERASI (EMERBADANAN)1968.pdf",399454
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2864054_BI/Act 865 CO-OPERATIVE INSTITUTE (INCORPORATION) ACT 1968.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 865 CO-OPERATIVE INSTITUTE (INCORPORATION) ACT 1968.pdf",435966
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2687068_BI/Act 864 - DATA SHARING ACT 2025.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 864 - DATA SHARING ACT 2025.pdf",334495
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2687068_BM/Akta 864 - AKTA PERKONGSIAN DATA 2025.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 864 - AKTA PERKONGSIAN DATA 2025.pdf",317049
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2592590_BM/Akta 863.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 863.pdf",377853
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2592590_BI/Act 863.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 863.pdf",349992
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2592589_BM/Akta 862 - AKTA KEWANGAN 2024.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 862 - AKTA KEWANGAN 2024.pdf",378320
