file,reason,detail
pdfs/translated/EN/Act A1765 - TUNKU ABDUL RAHMAN FOUNDATION FUND (AMENDMENT) ACT 2025.pdf,already_covered,Act A1765
pdfs/translated/EN/Act A1769 - NATIONAL REGISTRATION (AMENDMENT) ACT 2025.pdf,already_covered,Act A1769
pdfs/translated/EN/Act A1791 - PASSPORTS (AMENDMENT) ACT 2026.pdf,already_covered,Act A1791
pdfs/translated/EN/ACT A188 2.pdf,needs_ocr,0/4 text pages
pdfs/translated/EN/ACT A214.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/ACT A23.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/ACT A232.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/ACT A233.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/ACT A259.pdf,needs_ocr,0/4 text pages
pdfs/translated/EN/ACT A277.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/Act A279.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/ACT A281.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/ACT A296.pdf,needs_ocr,0/10 text pages
pdfs/translated/EN/ACT A324.pdf,needs_ocr,0/14 text pages
pdfs/translated/EN/Act A327 (1).pdf,needs_ocr,0/8 text pages
pdfs/translated/EN/ACT A333.pdf,needs_ocr,0/5 text pages
pdfs/translated/EN/ACT A354.pdf,needs_ocr,0/16 text pages
pdfs/translated/EN/ACT A391.pdf,needs_ocr,0/7 text pages
pdfs/translated/EN/ACT A398.pdf,needs_ocr,0/5 text pages
pdfs/translated/EN/ACT A426.pdf,needs_ocr,0/6 text pages
pdfs/translated/EN/ACT A427.pdf,needs_ocr,0/5 text pages
pdfs/translated/EN/ACT A430 BI (1).pdf,needs_ocr,0/6 text pages
pdfs/translated/EN/ACT A434.pdf,needs_ocr,0/6 text pages
pdfs/translated/EN/ACT A453.pdf,needs_ocr,0/5 text pages
pdfs/translated/EN/ACT A469.pdf,needs_ocr,0/5 text pages
pdfs/translated/EN/ACT A481.pdf,needs_ocr,0/6 text pages
pdfs/translated/EN/ACT A486.pdf,needs_ocr,0/5 text pages
pdfs/translated/EN/ACT A501.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/ACT A506.pdf,needs_ocr,0/4 text pages
pdfs/translated/EN/ACT A510.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/Act A514.pdf,needs_ocr,0/16 text pages
pdfs/translated/EN/ACT A524.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/ACT A548.pdf,needs_ocr,0/4 text pages
pdfs/translated/EN/ACT A554.pdf,needs_ocr,0/4 text pages
pdfs/translated/EN/Act A556.pdf,needs_ocr,0/4 text pages
pdfs/translated/EN/ACT A558.pdf,needs_ocr,0/9 text pages
pdfs/translated/EN/ACT A56.pdf,needs_ocr,0/4 text pages
pdfs/translated/EN/ACT A565.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/ACT A577.pdf,needs_ocr,0/13 text pages
pdfs/translated/EN/ACT A587.pdf,needs_ocr,0/67 text pages
pdfs/translated/EN/Act A6.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/Act A600.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/ACT A606 (1).pdf,needs_ocr,0/5 text pages
pdfs/translated/EN/ACT A614 2.pdf,needs_ocr,0/4 text pages
pdfs/translated/EN/Act A63.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/ACT A639.pdf,needs_ocr,0/7 text pages
pdfs/translated/EN/Act A64.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/Act A670.pdf,needs_ocr,0/4 text pages
pdfs/translated/EN/ACT A671.pdf,needs_ocr,0/5 text pages
pdfs/translated/EN/ACT A693.pdf,needs_ocr,0/8 text pages
pdfs/translated/EN/ACT A724.pdf,needs_ocr,0/14 text pages
pdfs/translated/EN/ACT A728.pdf,needs_ocr,0/8 text pages
pdfs/translated/EN/Act A746.pdf,needs_ocr,0/4 text pages
pdfs/translated/EN/ACT A755.pdf,needs_ocr,0/5 text pages
pdfs/translated/EN/ACT A765.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/ACT A768.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/ACT A795.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/ACT A808.pdf,needs_ocr,0/4 text pages
pdfs/translated/EN/ACT A84.pdf,needs_ocr,0/5 text pages
pdfs/translated/EN/Act A841.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/Act A851 (1).pdf,needs_ocr,0/10 text pages
pdfs/translated/EN/ACT A885.pdf,needs_ocr,0/19 text pages
pdfs/translated/EN/ACT A888.pdf,needs_ocr,0/4 text pages
pdfs/translated/EN/ACT A889.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/ACT A893.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/ACT A901.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/Act A908.pdf,needs_ocr,0/8 text pages
pdfs/translated/EN/Act A909.pdf,needs_ocr,0/7 text pages
pdfs/translated/EN/Act A940.pdf,needs_ocr,0/6 text pages
pdfs/translated/EN/ACT A95.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/ACT A959.pdf,needs_ocr,0/7 text pages
pdfs/translated/EN/Act A979.pdf,needs_ocr,0/7 text pages
pdfs/translated/EN/ACT A992.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/ACT A996.pdf,needs_ocr,0/6 text pages
pdfs/translated/EN/ACT NO 11 1962.pdf,needs_ocr,0/39 text pages
pdfs/translated/EN/ACT NO 11 OF 1965.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/ACT NO 12 OF 1965.pdf,needs_ocr,0/5 text pages
pdfs/translated/EN/ACT NO 14 OF 1963.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/ACT NO 16 OF 1960 BI.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/ACT NO 19 OF 1963.pdf,unreadable,Failed to open file 'C:\\Users\\huiyee\\OneDrive\\Documents\\claude\\playground\\malaysia_law\\pdfs\\translated\\EN\\ACT
pdfs/translated/EN/ACT NO 23 OF 1960.pdf,needs_ocr,0/17 text pages
pdfs/translated/EN/ACT WILLS Revised.pdf,needs_ocr,0/18 text pages
pdfs/translated/EN/ACT640 - Election Offences (Amendment) Act 1986.pdf,needs_ocr,0/7 text pages
pdfs/translated/EN/ActA206.pdf,needs_ocr,0/11 text pages
pdfs/translated/EN/ActA530.pdf,needs_ocr,0/5 text pages
pdfs/translated/EN/AKTA 103 - ORI .pdf,needs_ocr,0/14 text pages
pdfs/translated/EN/AKTA 103 CETAKAN 1994 -BI.pdf,needs_ocr,0/20 text pages
pdfs/translated/EN/AKTA 114- CETAKAN 1995 (BI).pdf,needs_ocr,0/8 text pages
pdfs/translated/EN/AKTA 114- CETAKAN 2000 (BI).pdf,needs_ocr,0/8 text pages
pdfs/translated/EN/AKTA 114- REVISED.pdf,needs_ocr,0/6 text pages
pdfs/translated/EN/AKTA 114-WARTA ASAL.pdf,unreadable,Failed to open file 'C:\\Users\\huiyee\\OneDrive\\Documents\\claude\\playground\\malaysia_law\\pdfs\\translated\\EN\\AKT
pdfs/translated/EN/AKTA 118 - SEMAKAN.pdf,needs_ocr,0/21 text pages
pdfs/translated/EN/AKTA 118- A116(BI).pdf,needs_ocr,0/4 text pages
pdfs/translated/EN/AKTA 118- A402(BI).pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/AKTA 118- A703 (BI).pdf,needs_ocr,0/9 text pages
pdfs/translated/EN/AKTA 118- CETAKAN 2000(BI).pdf,needs_ocr,0/24 text pages
pdfs/translated/EN/AKTA 119 - WARTA ASAL.pdf,needs_ocr,0/10 text pages
pdfs/translated/EN/AKTA 119- SEMAKAN.pdf,needs_ocr,0/12 text pages
pdfs/translated/EN/AKTA 120 (CETAKAN 1-1995) BI.pdf,needs_ocr,0/8 text pages
pdfs/translated/EN/AKTA 120 (CETAKAN 2- 2000)BI.pdf,needs_ocr,0/8 text pages
pdfs/translated/EN/AKTA 120 (REVISED) BI.pdf,needs_ocr,0/7 text pages
pdfs/translated/EN/AKTA 120 WARTA ASAL.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/Akta 258- Warta Asal.pdf,needs_ocr,0/16 text pages
pdfs/translated/EN/AKTA 299 REVISED 1983.pdf,needs_ocr,0/37 text pages
pdfs/translated/EN/Akta 370 -Revised 1989.pdf,needs_ocr,0/18 text pages
pdfs/translated/EN/AKTA 424 REVISED 1990.pdf,needs_ocr,0/15 text pages
"pdfs/translated/EN/Akta 50 Akta Perubatan, 1971-BI.pdf",needs_ocr,0/45 text pages
pdfs/translated/EN/AKTA 62 BI REPRINT 1999.pdf,needs_ocr,0/14 text pages
pdfs/translated/EN/Akta 846 BI.pdf,already_covered,Act 574
pdfs/translated/EN/AKTA A1142 (BI)_repaired.pdf,already_covered,Act 118
pdfs/translated/EN/Audit Act 1957 - Revised 1972(1).pdf,needs_ocr,0/12 text pages
pdfs/translated/EN/CamScanner 11-04-2025 13.56.pdf,needs_ocr,0/31 text pages
pdfs/translated/EN/Cetakan Semula Act 221-KPI 2016  - diluluskan oleh TPPUU 241016 (Bersih).pdf,already_covered,Act 221
pdfs/translated/EN/Criminal Procedure Code (Amendment) Act 2025 A1751.pdf,already_covered,Act 2025
pdfs/translated/EN/Draf 2-Act 593  CPC (17.5.2018).pdf,already_covered,Act 593
pdfs/translated/EN/Draf Bersih Act 358 (Kemas kini 6.8.2020).pdf,already_covered,Act 358
pdfs/translated/EN/Draf Muktamad Act 318 (Kemas kini 29.08.2017).pdf,already_covered,Act 318
pdfs/translated/EN/EN NO 29 1938 (1).pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/EN NO 3 1938-compressed (1).pdf,needs_ocr,0/10 text pages
pdfs/translated/EN/F.M. 22-1949.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/Final Draf Act 327 (1.1.2022).pdf,already_covered,Act 327
pdfs/translated/EN/FM ORD 1 1952.pdf,needs_ocr,0/4 text pages
pdfs/translated/EN/FM ORD 14 1952 (1).pdf,needs_ocr,0/45 text pages
pdfs/translated/EN/FM ORD 14 1953.pdf,needs_ocr,0/4 text pages
pdfs/translated/EN/FM ORD 21 1955.pdf,needs_ocr,0/8 text pages
pdfs/translated/EN/FM ORD 25 1957.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/FM ORD 36 1950 (1).pdf,needs_ocr,0/5 text pages
pdfs/translated/EN/FM ORD 43 1948 (1).pdf,needs_ocr,0/48 text pages
pdfs/translated/EN/FM ORD 69 1957.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/FM ORD 73 1958.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/FM ORD 79 1952.pdf,needs_ocr,0/4 text pages
pdfs/translated/EN/FM ORD 8 1954.pdf,needs_ocr,0/10 text pages
pdfs/translated/EN/JAN 2006 (2).pdf,needs_ocr,0/288 text pages
pdfs/translated/EN/Kelulusan KU -Act 92  -Draf Bersih arahan KU 23.12.2020.pdf,already_covered,Act 92
pdfs/translated/EN/L.N (NS) 117 1957.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/L.N. (N.S.) 56-1957.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/L.N. 113-1956.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/L.N. 202-1965.pdf,needs_ocr,0/1 text pages
pdfs/translated/EN/L.N. 232-1963.pdf,needs_ocr,0/8 text pages
pdfs/translated/EN/L.N. 246-1965.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/L.N. 325 1964.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/L.N. 329-1963.pdf,needs_ocr,0/1 text pages
pdfs/translated/EN/L.N. 33-1964.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/L.N. 332-1958.pdf,needs_ocr,0/67 text pages
pdfs/translated/EN/L.N. 348-1963.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/L.N. 349 1965.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/L.N. 458.1964.pdf,needs_ocr,0/1 text pages
pdfs/translated/EN/L.N. 67-1965.pdf,needs_ocr,0/7 text pages
pdfs/translated/EN/L.N. 98-1962.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/L.N. 98-1965.pdf,needs_ocr,0/4 text pages
pdfs/translated/EN/L.N.149 1964.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/Lampiran 1 - Act 115 (reprint 2000)-13-22.pdf,needs_ocr,0/10 text pages
pdfs/translated/EN/LN (NS) 9 1957.pdf,needs_ocr,0/1 text pages
pdfs/translated/EN/LN 228 1965.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/LN 239 1953 (1).pdf,needs_ocr,0/4 text pages
pdfs/translated/EN/LN 241 1953.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/LN 348 1965.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/LN 371 1955.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/LN 75 1958.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/LN NS 1 1957.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/LN NS 73 1957.pdf,needs_ocr,0/11 text pages
pdfs/translated/EN/MU ORD 131947-compressed.pdf,needs_ocr,0/6 text pages
pdfs/translated/EN/NO. 13 OF 1950 (ACT 527).pdf,needs_ocr,0/9 text pages
pdfs/translated/EN/NO. 13 OF 1963.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/NO. 14 OF 1960 (ACT 14-60).pdf,needs_ocr,0/1 text pages
pdfs/translated/EN/NO. 14 OF 1962.pdf,needs_ocr,0/16 text pages
pdfs/translated/EN/No. 15 of 1962.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/No. 2 of 1961.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/NO. 22 OF 1948 (ACT 529).pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/No. 23 of 1965 BI.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/NO. 28 OF 1955 (ACT 55).pdf,needs_ocr,0/7 text pages
pdfs/translated/EN/NO. 28 OF 1965 (ACT 96).pdf,needs_ocr,0/4 text pages
pdfs/translated/EN/No. 31 of 1953.pdf,needs_ocr,0/14 text pages
pdfs/translated/EN/NO. 32 OF 1950 - ACT 14.pdf,needs_ocr,0/7 text pages
pdfs/translated/EN/NO. 33 OF 1949 (ACT 100).pdf,needs_ocr,0/17 text pages
pdfs/translated/EN/NO. 33 OF 1958 - ACT 19.pdf,needs_ocr,0/10 text pages
pdfs/translated/EN/No. 33-1967.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/NO. 34 OF 1967 (ACT 541).pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/No. 35 of 1964.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/NO. 37 OF 1958 (ACT 510).pdf,needs_ocr,0/5 text pages
pdfs/translated/EN/NO. 40 0F 1961.pdf,needs_ocr,0/9 text pages
pdfs/translated/EN/NO. 42 OF 1966 BI.pdf,needs_ocr,0/8 text pages
pdfs/translated/EN/NO. 43 OF 1948 (ACT 92).pdf,needs_ocr,0/44 text pages
pdfs/translated/EN/No. 43 of 1966 BI.pdf,needs_ocr,0/8 text pages
pdfs/translated/EN/No. 44 of 1956.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/NO. 47 OF 1965 (ACT 540).pdf,needs_ocr,0/4 text pages
pdfs/translated/EN/NO. 5 OF 1960.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/NO. 52 OF 1949 (ACT 33).pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/NO. 55 OF 1949 (ACT 34).pdf,needs_ocr,0/7 text pages
pdfs/translated/EN/No. 56 of 1956 BI.pdf,needs_ocr,0/8 text pages
pdfs/translated/EN/NO. 57 OF 1966 (ACT 83).pdf,needs_ocr,0/8 text pages
pdfs/translated/EN/NO. 58 OF 1966 (ACT 95).pdf,needs_ocr,0/16 text pages
pdfs/translated/EN/NO. 6 OF 1960 - ACT 16.pdf,needs_ocr,0/8 text pages
pdfs/translated/EN/NO. 65 OF 1958 (ACT 99).pdf,needs_ocr,0/10 text pages
pdfs/translated/EN/NO. 7 OF 1961 (ACT 7-61).pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/NO. 7 OF 1965.pdf,needs_ocr,0/1 text pages
pdfs/translated/EN/NO. 70 OF 1966 (ACT 70-1966).pdf,needs_ocr,0/8 text pages
pdfs/translated/EN/NO. 72 OF 1957.pdf,needs_ocr,0/4 text pages
pdfs/translated/EN/NO. 76 OF 1957 (ACT 31).pdf,needs_ocr,0/6 text pages
pdfs/translated/EN/Nov 2007  Revised Act 682.pdf,already_covered,Act 682
pdfs/translated/EN/NOV 2012.pdf,needs_ocr,0/351 text pages
pdfs/translated/EN/OCT 2018.pdf,needs_ocr,0/358 text pages
pdfs/translated/EN/ORD 1 1958.pdf,needs_ocr,0/5 text pages
pdfs/translated/EN/ORD 10 1956.pdf,needs_ocr,0/9 text pages
pdfs/translated/EN/ORD 13 1959.pdf,needs_ocr,0/12 text pages
pdfs/translated/EN/ORD 15 OF 1955.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/ORD 16 1953.pdf,needs_ocr,0/4 text pages
pdfs/translated/EN/ORD 18 1956.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/ORD 19 1960.pdf,needs_ocr,0/4 text pages
pdfs/translated/EN/ORD 22 1953.pdf,needs_ocr,0/6 text pages
pdfs/translated/EN/ORD 26 1953.pdf,needs_ocr,0/15 text pages
pdfs/translated/EN/ORD 35 1953.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/ORD 39 OF 1958.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/ORD 41 1952.pdf,needs_ocr,0/18 text pages
pdfs/translated/EN/ORD 41 1959 - WARTA ASAL.pdf,needs_ocr,0/4 text pages
pdfs/translated/EN/ORD 46 1958.pdf,needs_ocr,0/18 text pages
pdfs/translated/EN/ORD 51 1949.pdf,needs_ocr,0/6 text pages
pdfs/translated/EN/ORD 58 1956.pdf,needs_ocr,0/30 text pages
pdfs/translated/EN/ORD 6 1958.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/ORD 61 1957.pdf,needs_ocr,0/22 text pages
pdfs/translated/EN/ORD NO 13 OF 1956.pdf,needs_ocr,0/19 text pages
pdfs/translated/EN/ORD NO 29 OF 1957.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/ORD NO 31 OF 1957.pdf,needs_ocr,0/5 text pages
pdfs/translated/EN/ORD NO 36 1957.pdf,needs_ocr,0/7 text pages
pdfs/translated/EN/ORD NO 41 OF 1957.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/ORD NO 43 OF 1955.pdf,needs_ocr,0/4 text pages
pdfs/translated/EN/ORD NO 61 OF 1953.pdf,needs_ocr,0/5 text pages
pdfs/translated/EN/ORD NO 64 OF 1949.pdf,needs_ocr,0/8 text pages
pdfs/translated/EN/ORD NO 73 1952.pdf,needs_ocr,0/9 text pages
pdfs/translated/EN/ORD NO 77 OF 1957.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/ORD. 14-1953 BI.pdf,needs_ocr,0/4 text pages
pdfs/translated/EN/Ord. 19 of 1958.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/Ord. 46 of 1957.pdf,needs_ocr,0/3 text pages
pdfs/translated/EN/ORD. 5-1957.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/Ord. 53-1955.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/ORDINANCE 11 1950.pdf,needs_ocr,0/64 text pages
pdfs/translated/EN/Ori 135 no1.1961.pdf,needs_ocr,0/17 text pages
pdfs/translated/EN/P.U. 144-1966.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/P.U. 273-1966.pdf,needs_ocr,0/1 text pages
pdfs/translated/EN/P.U. 296-1968.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/P.U. 348-1967.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/P.U. 349-1967.pdf,needs_ocr,0/1 text pages
pdfs/translated/EN/P.U. 497-1966.pdf,needs_ocr,0/5 text pages
pdfs/translated/EN/P.U. 498-1966.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/P.U. 55-1968.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/P.U. 56-1966.pdf,needs_ocr,0/4 text pages
pdfs/translated/EN/pindaan AA778 (1).pdf,needs_ocr,0/5 text pages
pdfs/translated/EN/Police Act 1967 [Act 344] (Cetakan Semula Tahun 2006).pdf,already_covered,Act 1967
pdfs/translated/EN/PTM ORD 60 1956.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/PU 412 1967.pdf,needs_ocr,0/2 text pages
pdfs/translated/EN/PU 81 1968.pdf,needs_ocr,0/1 text pages
pdfs/translated/EN/reprint 1993 (ACT 55).pdf,needs_ocr,0/12 text pages
pdfs/translated/EN/reprint 1993 (ACT 56).pdf,needs_ocr,0/130 text pages
pdfs/translated/EN/reprint 1993 (ACT 60).pdf,needs_ocr,0/12 text pages
pdfs/translated/EN/reprint 1999 (ACT 55).pdf,needs_ocr,0/10 text pages
pdfs/translated/EN/reprint 1999 (ACT 56).pdf,needs_ocr,0/130 text pages
pdfs/translated/EN/reprint 1999 (ACT 60).pdf,needs_ocr,0/12 text pages
pdfs/translated/EN/Reprint 1999.pdf,needs_ocr,0/11 text pages
pdfs/translated/EN/Reprint 2000 Act135.pdf,needs_ocr,0/23 text pages
pdfs/translated/EN/reprint 2006 (Act 55).pdf,already_covered,Act 55
pdfs/translated/EN/reprint 2006 (Act 60).pdf,already_covered,Act 60
pdfs/translated/EN/reprint Act 56 (Reprint 2017).pdf,already_covered,Act 56
pdfs/translated/EN/Revised 1988.pdf,needs_ocr,0/14 text pages
pdfs/translated/EN/Revised ACT 135.pdf,needs_ocr,0/20 text pages
pdfs/translated/EN/Sab. G.N.S. 129.1963.pdf,needs_ocr,0/29 text pages
pdfs/translated/EN/Warta Act 365 revised.pdf,needs_ocr,0/10 text pages
pdfs/translated/EN/WJW0146XX BI.pdf,already_covered,Act 527
pdfs/translated/EN/WJW241020 Act 91.pdf,already_covered,Act 91
pdfs/revised/EN/002. Act 382-Warta.pdf,needs_ocr,0/30 text pages
"pdfs/revised/EN/003. AA245 - Election Offences (Amendment) Act, 1974.pdf",needs_ocr,0/6 text pages
pdfs/revised/EN/010721_Act 177_final.pdf,already_covered,Act 177
pdfs/revised/EN/011022 Act 486_Final.pdf,already_covered,Act 486
pdfs/revised/EN/02. Açt A149.pdf,needs_ocr,0/5 text pages
pdfs/revised/EN/03. Act A139.pdf,needs_ocr,0/3 text pages
pdfs/revised/EN/04. Act A304.pdf,needs_ocr,0/3 text pages
pdfs/revised/EN/06. Akta A479.pdf,needs_ocr,0/3 text pages
pdfs/revised/EN/06.Act 356 Revised.pdf,needs_ocr,0/14 text pages
pdfs/revised/EN/07. Act 281.pdf,needs_ocr,0/31 text pages
pdfs/revised/EN/11. Act A1084.pdf,needs_ocr,0/5 text pages
pdfs/revised/EN/136 CONTRACTS 1950.pdf,needs_ocr,0/73 text pages
pdfs/revised/EN/137 SPECIFIC RELIEF 1950.pdf,needs_ocr,0/37 text pages
pdfs/revised/EN/138 REGISTRATION OF ENGINEERS 1967.pdf,needs_ocr,0/20 text pages
pdfs/revised/EN/15022021_Act 489_Muktamad.pdf,already_covered,Act 489
pdfs/revised/EN/2015_001.pdf,needs_ocr,0/46 text pages
pdfs/revised/EN/20181101_808_BI_National Anthem Act 1968 Act 808.pdf,already_covered,Act 1968
pdfs/revised/EN/20181112_809_BI_Warta - Pool Betting Act 1967 [Act 809].pdf,already_covered,Act 1967
pdfs/revised/EN/20181112_810_BI_Warta - Subang Golf Course Corporation Act 1968 [Act 810].pdf,already_covered,Act 1968
pdfs/revised/EN/20191227_816_BI_act 816.pdf,already_covered,Act 816
pdfs/revised/EN/20191227_817_BI_817 ACT.pdf,already_covered,Act 424
pdfs/revised/EN/20191227_818_BI_818 ACT.pdf,already_covered,Act THEOVERSEASMISSIONARYFELLOWSHIPINCORPORATIONACT1957
pdfs/revised/EN/20191227_819_BI_WJW014496 The Daughters of Charity of the Canossian Institute (Incorpora....pdf,already_covered,Act 424
pdfs/revised/EN/20191227_820_BI_WJW014497 The Superior of the Institute of the Franciscan Missionaries o....pdf,already_covered,Act 424
pdfs/revised/EN/20191227_821_BI_WJW014498 Penang and Province Wallesley Jubilee Fund Act 1965 [Act 821].pdf,already_covered,Act 1965
pdfs/revised/EN/20201015_828_BI_WJW015175 National Land Code Act 828 (Pewartaan).pdf,already_covered,Act 828
pdfs/revised/EN/212 HIRE PURCHASE 1967.pdf,needs_ocr,0/46 text pages
pdfs/revised/EN/254 REVISED BI.pdf,needs_ocr,0/28 text pages
pdfs/revised/EN/265 EMPLOYMENT 1955 (REVISED).pdf,needs_ocr,0/77 text pages
pdfs/revised/EN/310522_Act 122_final.pdf,already_covered,Act 122
pdfs/revised/EN/348 REVISED.pdf,needs_ocr,0/11 text pages
pdfs/revised/EN/593 REVISED 1999.pdf,needs_ocr,0/284 text pages
pdfs/revised/EN/832 Teks BI.pdf,already_covered,Act 335
pdfs/revised/EN/act  211-repealed.pdf,repealed_in_filename,act  211-repealed
pdfs/revised/EN/Act  214 (Revised).pdf,already_covered,Act 214
pdfs/revised/EN/ACT 100 - REVISED 1972.pdf,needs_ocr,0/22 text pages
pdfs/revised/EN/Act 103-revised.pdf,already_covered,Act 103
pdfs/revised/EN/ACT 115 - REVISED 1973.pdf,needs_ocr,0/8 text pages
pdfs/revised/EN/Act 121.pdf,already_covered,Act 121
pdfs/revised/EN/Act 122 - Control of Supplies Act 1961 25.10.2020 (1).pdf,already_covered,Act 122
pdfs/revised/EN/Act 122 - Control of Supplies Act 1961 Revised 1973.pdf,already_covered,Act 122
pdfs/revised/EN/Act 122.pdf,already_covered,Act 122
pdfs/revised/EN/Act 134.pdf,already_covered,Act 134
pdfs/revised/EN/Act 139 - diluluskan TPPUU (3_08_2016).pdf,already_covered,Act 139
pdfs/revised/EN/Act 139.pdf,already_covered,Act 139
pdfs/revised/EN/ACT 14 - REVISED 1969.pdf,needs_ocr,0/10 text pages
pdfs/revised/EN/Act 140 (2000).pdf,needs_ocr,0/86 text pages
pdfs/revised/EN/Act 140 - Reprint 1997.pdf,needs_ocr,0/88 text pages
pdfs/revised/EN/Act 140.pdf,already_covered,Act 140
pdfs/revised/EN/ACT 149 (1).pdf,needs_ocr,0/64 text pages
pdfs/revised/EN/ACT 15 - REVISED.pdf,needs_ocr,0/11 text pages
pdfs/revised/EN/Act 15.pdf,already_covered,Act 15
pdfs/revised/EN/Act 150 revised 74.pdf,already_covered,Act 150
pdfs/revised/EN/ACT 155 REVISED 1975.pdf,needs_ocr,0/50 text pages
pdfs/revised/EN/Act 159.pdf,already_covered,Act 159
pdfs/revised/EN/ACT 16 - REVISED 1969.pdf,needs_ocr,0/11 text pages
pdfs/revised/EN/ACT 160.pdf,needs_ocr,0/4 text pages
pdfs/revised/EN/Act 177 Kelulusan TP.pdf,already_covered,Act 177
pdfs/revised/EN/Act 177.pdf,already_covered,Act 177
pdfs/revised/EN/Act 188 Revised 1977.pdf,needs_ocr,0/6 text pages
pdfs/revised/EN/Act 189 Revised 1977.pdf,needs_ocr,0/12 text pages
pdfs/revised/EN/ACT 19 - REPRINT 1982.pdf,needs_ocr,0/16 text pages
pdfs/revised/EN/ACT 19 - REPRINT 1988.pdf,needs_ocr,0/18 text pages
